,gamma,values,policy,time,steps
201,0.8,1.9315250000000004,0,0.033499717712402344,1
202,0.8,0.885084796214052,1,0.033499717712402344,1
203,0.8,2.021815,0,0.033499717712402344,1
204,0.8,0.928677473303484,1,0.033499717712402344,1
205,0.8,2.1158950000000005,0,0.033499717712402344,1
206,0.8,0.9664005665566937,1,0.033499717712402344,1
207,0.8,2.1975600000000006,0,0.033499717712402344,1
208,0.8,1.1069683245914361,1,0.033499717712402344,1
209,0.8,2.4798850000000003,0,0.033499717712402344,1
210,0.8,1.3510834511587821,1,0.033499717712402344,1
211,0.8,3.0798800000000006,0,0.033499717712402344,1
212,0.8,1.2028133362093487,1,0.033499717712402344,1
213,0.8,2.9692700000000007,0,0.033499717712402344,1
214,0.8,0.6988588451586776,1,0.033499717712402344,1
215,0.8,1.4379850000000003,0,0.033499717712402344,1
216,0.8,0.2953577484988816,1,0.033499717712402344,1
217,0.8,0.46681907692307706,1,0.033499717712402344,1
218,0.8,0.0,0,0.033499717712402344,1
219,0.8,0.0,0,0.033499717712402344,1
220,0.8,1.1770547757752334,1,0.033499717712402344,1
221,0.8,3.2773500000000007,0,0.033499717712402344,1
222,0.8,1.2588078149218866,1,0.033499717712402344,1
223,0.8,3.1999350000000004,0,0.033499717712402344,1
224,0.8,1.2928813085648263,1,0.033499717712402344,1
225,0.8,3.2513600000000005,0,0.033499717712402344,1
226,0.8,1.3284350395484756,1,0.033499717712402344,1
227,0.8,3.305250000000001,0,0.033499717712402344,1
228,0.8,1.3591389264801654,1,0.033499717712402344,1
229,0.8,3.3518000000000003,0,0.033499717712402344,1
230,0.8,1.4763663660773787,1,0.033499717712402344,1
231,0.8,3.5197950000000007,0,0.033499717712402344,1
232,0.8,1.6717985058114218,1,0.033499717712402344,1
233,0.8,3.8661350000000008,0,0.033499717712402344,1
234,0.8,1.5692428670682403,1,0.033499717712402344,1
235,0.8,3.9590750000000012,0,0.033499717712402344,1
236,0.8,1.3312952329586047,1,0.033499717712402344,1
237,0.8,3.7917850000000004,0,0.033499717712402344,1
238,0.8,0.9632124869222659,1,0.033499717712402344,1
239,0.8,2.7726900000000003,0,0.033499717712402344,1
240,0.8,0.0,0,0.033499717712402344,1
241,0.8,0.0,0,0.033499717712402344,1
242,0.8,1.4085025266936035,1,0.033499717712402344,1
243,0.8,4.610970000000001,0,0.033499717712402344,1
244,0.8,1.4621732330223733,1,0.033499717712402344,1
245,0.8,4.410035000000001,0,0.033499717712402344,1
246,0.8,1.4884416742999198,1,0.033499717712402344,1
247,0.8,4.426500000000001,0,0.033499717712402344,1
248,0.8,1.5158395485188898,1,0.033499717712402344,1
249,0.8,4.443835000000001,0,0.033499717712402344,1
250,0.8,1.5394916512435841,1,0.033499717712402344,1
251,0.8,4.458770000000001,0,0.033499717712402344,1
252,0.8,1.6311968258534368,1,0.033499717712402344,1
253,0.8,4.514185000000001,0,0.033499717712402344,1
254,0.8,1.776775361894612,1,0.033499717712402344,1
255,0.8,4.6296300000000015,0,0.033499717712402344,1
256,0.8,1.6679601235430137,1,0.033499717712402344,1
257,0.8,4.653025000000001,0,0.033499717712402344,1
258,0.8,1.4801886982511816,1,0.033499717712402344,1
259,0.8,4.695880000000001,0,0.033499717712402344,1
260,0.8,1.331780500620007,1,0.033499717712402344,1
261,0.8,4.813120000000001,0,0.033499717712402344,1
262,0.8,0.0,0,0.033499717712402344,1
263,0.8,0.0,0,0.033499717712402344,1
264,0.8,0.23983404757648552,1,0.033499717712402344,1
265,0.8,0.0,0,0.033499717712402344,1
266,0.8,0.3256119558670917,1,0.033499717712402344,1
267,0.8,0.0,0,0.033499717712402344,1
268,0.8,0.3475640568047339,1,0.033499717712402344,1
269,0.8,0.0,0,0.033499717712402344,1
