,alpha,gamma,epsilon,eps_decay,episode,steps,episode_time,time,reward
125,0.9,0.9,0.5344229416520513,0.995,126,1,4.059999999839192e-05,22.070412,-1.0
126,0.9,0.9,0.531750826943791,0.995,127,2,6.760000000127775e-05,22.0704803,1.0
127,0.9,0.9,0.5290920728090721,0.995,128,1,4.090000000189775e-05,22.0705219,1.0
128,0.9,0.9,0.5264466124450268,0.995,129,1,3.779999999764527e-05,22.0705601,-1.0
129,0.9,0.9,0.5238143793828016,0.995,130,1,3.759999999886077e-05,22.0705981,-1.0
130,0.9,0.9,0.5211953074858876,0.995,131,1,3.889999999984184e-05,22.0706374,-1.0
131,0.9,0.9,0.5185893309484582,0.995,132,1,3.6299999997879695e-05,22.070674,-1.0
132,0.9,0.9,0.5159963842937159,0.995,133,1,5.120000000147229e-05,22.0707256,1.0
133,0.9,0.9,0.5134164023722473,0.995,134,1,4.419999999782931e-05,22.0707702,0.0
134,0.9,0.9,0.510849320360386,0.995,135,1,8.229999999898041e-05,22.0708529,1.0
135,0.9,0.9,0.5082950737585841,0.995,136,1,4.8100000000772525e-05,22.0709014,0.0
136,0.9,0.9,0.5057535983897912,0.995,137,1,4.300000000156956e-05,22.0709448,1.0
137,0.9,0.9,0.5032248303978422,0.995,138,1,3.820000000231971e-05,22.0709835,-1.0
138,0.9,0.9,0.500708706245853,0.995,139,1,3.770000000002938e-05,22.0710216,-1.0
139,0.9,0.9,0.4982051627146237,0.995,140,1,3.6999999998954536e-05,22.071059,0.0
140,0.9,0.9,0.49571413690105054,0.995,141,1,4.279999999923234e-05,22.0711022,1.0
141,0.9,0.9,0.4932355662165453,0.995,142,2,6.86999999999216e-05,22.0711712,-1.0
142,0.9,0.9,0.4907693883854626,0.995,143,1,3.799999999998249e-05,22.0712096,-1.0
143,0.9,0.9,0.4883155414435353,0.995,144,2,0.00010079999999845768,22.0713107,-1.0
144,0.9,0.9,0.4858739637363176,0.995,145,1,4.889999999946326e-05,22.07136,1.0
145,0.9,0.9,0.483444593917636,0.995,146,1,4.269999999806373e-05,22.0714031,1.0
146,0.9,0.9,0.4810273709480478,0.995,147,1,3.6600000001385524e-05,22.0714401,-1.0
147,0.9,0.9,0.47862223409330756,0.995,148,1,4.2700000001616445e-05,22.0714832,-1.0
148,0.9,0.9,0.47622912292284103,0.995,149,1,4.9699999998154e-05,22.0715336,1.0
149,0.9,0.9,0.4738479773082268,0.995,150,1,4.059999999839192e-05,22.0715748,0.0
