,alpha,gamma,epsilon,eps_decay,episode,steps,episode_time,time,reward
86,0.9,0.9,0.6498078359349755,0.995,87,16,0.0014455999999999913,0.1870117,17.0
87,0.9,0.9,0.6465587967553006,0.995,88,43,0.003829399999999983,0.1908426,39.0
88,0.9,0.9,0.6433260027715241,0.995,89,21,0.0022596000000000005,0.1931036,15.0
89,0.9,0.9,0.6401093727576664,0.995,90,25,0.0020950000000000135,0.1952011,21.0
90,0.9,0.9,0.6369088258938781,0.995,91,17,0.0017903999999999975,0.1969923,28.0
91,0.9,0.9,0.6337242817644086,0.995,92,18,0.0013967000000000007,0.1983898,24.0
92,0.9,0.9,0.6305556603555866,0.995,93,37,0.004760199999999992,0.2031508,44.0
93,0.9,0.9,0.6274028820538087,0.995,94,25,0.002495300000000006,0.2056472,31.0
94,0.9,0.9,0.6242658676435396,0.995,95,17,0.0016925000000000134,0.2073406,21.0
95,0.9,0.9,0.6211445383053219,0.995,96,32,0.002735100000000018,0.2100764,20.0
96,0.9,0.9,0.6180388156137953,0.995,97,50,0.0037718999999999947,0.2138681,49.0
97,0.9,0.9,0.6149486215357263,0.995,98,14,0.0010377000000000025,0.2149065,8.0
98,0.9,0.9,0.6118738784280476,0.995,99,13,0.001180500000000001,0.2160875,15.0
99,0.9,0.9,0.6088145090359074,0.995,100,18,0.0020011000000000057,0.2180892,20.0
100,0.9,0.9,0.6057704364907278,0.995,101,32,0.0025271000000000043,0.2206171,36.0
101,0.9,0.9,0.6027415843082742,0.995,102,25,0.0023606000000000182,0.2229786,40.0
102,0.9,0.9,0.5997278763867329,0.995,103,8,0.0009215999999999946,0.2239012,16.0
103,0.9,0.9,0.5967292370047992,0.995,104,14,0.001137100000000002,0.225039,21.0
104,0.9,0.9,0.5937455908197752,0.995,105,32,0.002488199999999996,0.2275278,49.0
105,0.9,0.9,0.5907768628656763,0.995,106,14,0.001339800000000002,0.2288681,23.0
106,0.9,0.9,0.5878229785513479,0.995,107,26,0.001771600000000012,0.2306404,32.0
107,0.9,0.9,0.5848838636585911,0.995,108,34,0.002972200000000008,0.2336144,17.0
108,0.9,0.9,0.5819594443402982,0.995,109,29,0.002249100000000004,0.2358641,27.0
109,0.9,0.9,0.5790496471185967,0.995,110,11,0.0007794000000000134,0.236644,18.0
110,0.9,0.9,0.5761543988830038,0.995,111,24,0.0018459000000000114,0.2384904,25.0
111,0.9,0.9,0.5732736268885887,0.995,112,22,0.0018498000000000125,0.2403409,21.0
112,0.9,0.9,0.5704072587541458,0.995,113,18,0.0013708000000000053,0.2417122,23.0
113,0.9,0.9,0.567555222460375,0.995,114,25,0.0019768000000000008,0.2436895,23.0
114,0.9,0.9,0.5647174463480732,0.995,115,7,0.00047139999999998294,0.2441615,21.0
115,0.9,0.9,0.5618938591163328,0.995,116,14,0.0009783999999999904,0.2451404,19.0
116,0.9,0.9,0.5590843898207511,0.995,117,12,0.0008899000000000268,0.2460309,23.0
117,0.9,0.9,0.5562889678716474,0.995,118,35,0.004435200000000028,0.2504667,40.0
118,0.9,0.9,0.5535075230322891,0.995,119,29,0.0025780000000000247,0.2530455,24.0
119,0.9,0.9,0.5507399854171277,0.995,120,35,0.0032766000000000184,0.2563229,54.0
120,0.9,0.9,0.547986285490042,0.995,121,19,0.0014066000000000356,0.2577302,24.0
121,0.9,0.9,0.5452463540625918,0.995,122,11,0.0009018000000000082,0.2586327,15.0
122,0.9,0.9,0.5425201222922789,0.995,123,12,0.0010364999999999958,0.2596698,27.0
123,0.9,0.9,0.5398075216808175,0.995,124,9,0.0007072999999999663,0.2603777,18.0
124,0.9,0.9,0.5371084840724134,0.995,125,30,0.0025500999999999996,0.2629284,35.0
125,0.9,0.9,0.5344229416520513,0.995,126,14,0.001694199999999979,0.2646233,23.0
126,0.9,0.9,0.531750826943791,0.995,127,14,0.0011024000000000034,0.2657266,14.0
127,0.9,0.9,0.5290920728090721,0.995,128,22,0.0019519000000000064,0.26768,15.0
128,0.9,0.9,0.5264466124450268,0.995,129,23,0.00232530000000003,0.2700061,34.0
129,0.9,0.9,0.5238143793828016,0.995,130,11,0.0009842000000000461,0.2709909,25.0
130,0.9,0.9,0.5211953074858876,0.995,131,9,0.0008420000000000094,0.2718334,17.0
131,0.9,0.9,0.5185893309484582,0.995,132,33,0.0028690000000000104,0.274703,22.0
132,0.9,0.9,0.5159963842937159,0.995,133,13,0.0012402000000000246,0.2759438,23.0
133,0.9,0.9,0.5134164023722473,0.995,134,35,0.0029256999999999755,0.27887,8.0
134,0.9,0.9,0.510849320360386,0.995,135,12,0.0009232999999999603,0.2797939,24.0
135,0.9,0.9,0.5082950737585841,0.995,136,11,0.0009714000000000111,0.2807659,20.0
136,0.9,0.9,0.5057535983897912,0.995,137,23,0.0020085999999999715,0.2827751,27.0
137,0.9,0.9,0.5032248303978422,0.995,138,23,0.0016612999999999767,0.2844368,29.0
138,0.9,0.9,0.500708706245853,0.995,139,12,0.0010892000000000124,0.2855266,15.0
139,0.9,0.9,0.4982051627146237,0.995,140,16,0.0014349000000000167,0.2869623,19.0
140,0.9,0.9,0.49571413690105054,0.995,141,16,0.0012858000000000036,0.288249,20.0
141,0.9,0.9,0.4932355662165453,0.995,142,22,0.002875699999999981,0.2911255,28.0
142,0.9,0.9,0.4907693883854626,0.995,143,18,0.001424700000000001,0.2925508,38.0
143,0.9,0.9,0.4883155414435353,0.995,144,6,0.0005972000000000199,0.2931486,17.0
