,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
285,0.895400286,0.172771598,0.005904436,0.002651289,0.0001,"(100, 25, 100)",2,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 2}",0.5,0.488668195,0.505138031,0.513065077,0.5,0.5013685,0.007950054,249,0.5,0.524144144,0.526522758,0.521962666,0.5,0.514525914,0.011947755
286,0.752843618,0.215317695,0.005198812,0.000747157,0.0001,"(100, 25, 100)",3,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 3}",0.507226166,0.549062049,0.520956639,0.511439926,0.550592577,0.527847998,0.018492376,62,0.505674506,0.527714988,0.544333613,0.52619985,0.527982926,0.526381176,0.012291735
287,0.81940794,0.370987396,0.005600357,0.000800504,0.0001,"(100, 25, 100)",4,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 4}",0.49992957,0.5,0.5,0.5,0.523951458,0.504770813,0.009583659,222,0.501301626,0.5,0.5,0.5,0.527484407,0.505757207,0.010875291
288,0.876399755,0.160421568,0.005999231,0.002001095,0.0001,"(100, 25, 100)",5,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 5}",0.514945346,0.519586623,0.540295224,0.527691434,0.536285572,0.52774824,0.009602728,63,0.503948754,0.526470106,0.553857655,0.537754678,0.532724377,0.530951114,0.016268678
289,0.901598406,0.179003241,0.005600452,0.001019412,0.0001,"(100, 25, 100)",6,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 6}",0.5,0.529963501,0.50268966,0.507416081,0.523532751,0.512717343,0.011875695,167,0.5,0.534791155,0.510912107,0.517060645,0.529723095,0.5184974,0.012595693
290,0.964200878,0.236053189,0.006197548,0.001166533,0.0001,"(100, 25, 100)",7,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 7}",0.513381789,0.512859689,0.523376623,0.508594138,0.543098432,0.520254247,0.012400741,117,0.514405639,0.511826372,0.538688459,0.51332198,0.525078516,0.520664193,0.010154261
291,1.096199226,0.342400031,0.005000639,0.000632637,0.0001,"(100, 25, 100)",8,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 8}",0.564472053,0.501591546,0.510723157,0.504854162,0.484749131,0.513311816,0.027035999,158,0.573022698,0.500769861,0.577911266,0.503359579,0.507201752,0.532453031,0.035214282
292,1.197809219,0.403721035,0.006999254,0.002190949,0.0001,"(100, 25, 100)",9,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 9}",0.567599166,0.5,0.503562558,0.512206373,0.509055425,0.518514426,0.024944199,125,0.569366444,0.5,0.579529792,0.520329986,0.516944309,0.537234106,0.031321609
293,1.331027794,0.579612986,0.006599665,0.002244921,0.0001,"(100, 25, 100)",10,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 10}",0.56282398,0.565529242,0.497771627,0.508402526,0.487807821,0.524510936,0.03308918,79,0.551129051,0.601343161,0.499969921,0.53025125,0.49913257,0.53636519,0.037916678
294,1.448637962,0.27219668,0.007200146,0.001938592,0.0001,"(100, 25, 100)",15,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 15}",0.540525693,0.507427213,0.482889788,0.523745653,0.55635512,0.522196861,0.025559046,101,0.539121914,0.50976249,0.549504136,0.520056177,0.538831778,0.531455299,0.014418515
295,1.593799448,0.258070786,0.008399248,0.003262311,0.0001,"(100, 25, 100)",20,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 20}",0.52304485,0.5,0.504726421,0.518238592,0.569626002,0.523118492,0.024726809,90,0.519465894,0.5,0.521253594,0.513100367,0.55610917,0.521985805,0.018620509
296,2.314008713,0.620904674,0.009600639,0.000800372,0.0001,"(100, 25, 100)",25,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 25}",0.493633085,0.580022918,0.486502023,0.508608332,0.576296927,0.529005296,0.040775661,57,0.52018252,0.574774775,0.554552572,0.530783828,0.569627549,0.549984249,0.021345249
297,2.171024084,0.337149347,0.009799337,0.003123327,0.0001,"(100, 25, 100)",30,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 30}",0.550977575,0.535565741,0.553168689,0.541693279,0.533262366,0.54293678,0.007985047,15,0.554302679,0.527944308,0.598792852,0.580444553,0.528377936,0.557972466,0.028150639
298,2.67203269,0.586597289,0.007800341,0.002857079,0.0001,"(100, 25, 100)",35,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 35}",0.507367027,0.617010441,0.518061174,0.544241005,0.537683628,0.544871584,0.038439969,13,0.494851995,0.611547912,0.532858849,0.589671783,0.55834653,0.557455414,0.041204043
299,1.9472085,0.284546142,0.00460062,0.000799466,0.0001,"(100, 25, 100)",40,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 40}",0.532172639,0.530578898,0.49574906,0.538847491,0.560556384,0.531580962,0.020857733,40,0.552562303,0.541834562,0.547687,0.537161056,0.567465387,0.549342061,0.010452785
