,gamma,step,step_time,time,values,variation,policies,policy_changes
48,0.7000000000000001,12,4.030000000000006e-05,0.0005630000000000001,"[9.63051718 9.4802231  5.24550574 9.3115418  6.5        5.
 0.        ]",0.015443706976707716,[3 1 0 2 3 1 0],0
49,0.8,0,5.769999999999994e-05,5.769999999999994e-05,[3.  5.  1.4 3.  3.  5.  0. ],5.0,[3 1 0 2 3 1 0],5
50,0.8,1,4.399999999999977e-05,0.00010169999999999971,[7.        6.4857216 2.776     5.4       7.        5.        0.       ],4.0,[3 1 0 2 3 1 0],0
51,0.8,2,4.220000000000005e-05,0.00014389999999999976,"[8.18857728 7.82058342 4.29664    7.448      7.         5.
 0.        ]",2.048,[3 1 0 2 3 1 0],0
52,0.8,3,4.1099999999999644e-05,0.0001849999999999994,"[9.25646674 9.15763726 5.2698496  8.92256    7.         5.
 0.        ]",1.4745600000000003,[3 1 0 2 3 1 0],0
53,0.8,4,4.689999999999989e-05,0.0002318999999999993,"[10.32610981 10.05080161  5.89270374  9.9842432   7.          5.
  0.        ]",1.0696430714880023,[3 1 0 2 3 1 0],0
54,0.8,5,4.119999999999992e-05,0.0002730999999999992,"[11.04064129 10.64939072  6.2913304  10.7486551   7.          5.
  0.        ]",0.7644119039999993,[3 1 0 2 3 1 0],0
55,0.8,6,4.049999999999974e-05,0.00031359999999999895,"[11.51951257 11.05190177  6.54645145 11.29903167  7.          5.
  0.        ]",0.5503765708799992,[3 1 0 2 3 1 0],0
56,0.8,7,4.020000000000065e-05,0.0003537999999999996,"[11.84152142 11.32348694  6.70972893 11.69530281  7.          5.
  0.        ]",0.39627113103360045,[3 1 0 2 3 1 0],0
57,0.8,8,4.040000000000033e-05,0.00039419999999999993,"[12.05878955 11.50736568  6.81422652 11.98061802  7.          5.
  0.        ]",0.28531521434419105,[3 1 0 2 3 1 0],0
58,0.8,9,4.069999999999942e-05,0.00043489999999999935,"[12.20589254 11.63229432  6.88110497 12.18604497  7.          5.
  0.        ]",0.20542695432781954,[3 1 0 2 3 1 0],0
59,0.8,10,4.0500000000000605e-05,0.00047539999999999995,"[12.30583545 11.71746594  6.92390718 12.33395238  7.          5.
  0.        ]",0.1479074071160298,[3 1 0 2 3 1 0],0
60,0.8,11,4.270000000000055e-05,0.0005181000000000005,"[12.37397275 11.77573224  6.9513006  12.44044571  7.          5.
  0.        ]",0.10649333312353981,[3 1 0 2 3 1 0],0
61,0.8,12,4.0700000000000285e-05,0.0005588000000000008,"[12.42058579 11.81572731  6.96883238 12.51712091  7.          5.
  0.        ]",0.07667519984894966,[3 1 0 2 3 1 0],0
62,0.8,13,4.030000000000006e-05,0.0005991000000000008,"[12.45258185 11.8432715   6.98005272 12.57232706  7.          5.
  0.        ]",0.0552061438912439,[3 1 0 2 3 1 0],0
63,0.8,14,4.030000000000006e-05,0.0006394000000000009,"[12.4746172  11.86230188  6.98723374 12.61207548  7.          5.
  0.        ]",0.03974842360169539,[3 1 0 2 3 1 0],0
64,0.8,15,4.040000000000033e-05,0.0006798000000000012,"[12.4898415  11.87549082  6.9918296  12.64069435  7.          5.
  0.        ]",0.02861886499322175,[3 1 0 2 3 1 0],0
65,0.8,16,5.870000000000007e-05,0.0007385000000000013,"[12.50039266 11.88465859  6.99477094 12.66129993  7.          5.
  0.        ]",0.020605582795118593,[3 1 0 2 3 1 0],0
66,0.8,17,4.0899999999999964e-05,0.0007794000000000013,"[12.50772687 11.89104928  6.9966534  12.67613595  7.          5.
  0.        ]",0.014836019612484819,[3 1 0 2 3 1 0],0
67,0.8,18,4.020000000000065e-05,0.0008196000000000019,"[12.51283943 11.89551612  6.99785818 12.68681788  7.          5.
  0.        ]",0.010681934120990277,[3 1 0 2 3 1 0],0
68,0.9,0,6.139999999999965e-05,6.139999999999965e-05,[3.  5.  1.4 3.  3.  5.  0. ],5.0,[3 1 0 2 3 1 0],5
69,0.9,1,4.469999999999995e-05,0.0001060999999999996,[7.5       6.6714368 2.948     5.7       7.5       5.5       0.       ],4.5,[3 1 0 2 3 2 0],1
70,0.9,2,4.2300000000000323e-05,0.00014839999999999992,"[9.00429312 8.3608713  4.87256    8.292      7.95       5.95
 0.        ]",2.5919999999999996,[3 1 0 2 3 2 0],0
71,0.9,3,4.410000000000004e-05,0.00019249999999999996,"[10.52478417 10.26460616  6.3392432  10.43202     8.355       6.355
  0.        ]",2.14002,[3 1 0 2 3 2 0],0
72,0.9,4,4.620000000000058e-05,0.00023870000000000054,"[12.23814554 11.75776825  7.4681551  12.2018862   8.7195      6.7195
  0.        ]",1.769866200000001,[3 1 0 2 3 2 0],0
73,0.9,5,4.3100000000000777e-05,0.0002818000000000013,"[13.58199142 12.93860908  8.34658167 13.66828282  9.04755     7.04755
  0.        ]",1.4663966219999995,[3 1 0 2 3 2 0],0
74,0.9,6,4.110000000000051e-05,0.00032290000000000183,"[14.64474817 13.88038831  9.03809781 14.88558859  9.342795    7.342795
  0.        ]",1.2173057638200007,[3 1 0 2 3 2 0],0
75,0.9,7,5.9700000000000204e-05,0.00038260000000000204,"[15.49234948 14.63795858  9.58913352 15.8981783   9.6085155   7.6085155
  0.        ]",1.0125897186942012,[3 1 0 2 3 2 0],0
76,0.9,8,5.0599999999999604e-05,0.00043320000000000164,"[16.17416273 15.25257842 10.03370892 16.74229082  9.84766395  7.84766395
  0.        ]",0.8441125171423014,[3 1 0 2 3 2 0],0
77,0.9,9,4.4399999999999995e-05,0.00047760000000000163,"[16.72732057 15.75543645 10.39684994 17.44754532 10.06289756  8.06289756
  0.        ]",0.7052544993852621,[3 1 0 2 3 2 0],0
78,0.9,10,4.4099999999999175e-05,0.0005217000000000008,"[17.1798928  16.17023716 10.69705351 18.03817249 10.2566078   8.2566078
  0.        ]",0.5906271689520679,[3 1 0 2 3 2 0],0
79,0.9,11,4.450000000000027e-05,0.0005662000000000011,"[17.55321344 16.51510223 10.94806793 18.53401442 10.43094702  8.43094702
  0.        ]",0.49584192885617284,[3 1 0 2 3 2 0],0
80,0.9,12,4.3899999999999495e-05,0.0006101000000000006,"[17.863592   16.80397211 11.16017938 18.95133691 10.58785232  8.58785232
  0.        ]",0.4173224921779983,[3 1 0 2 3 2 0],0
81,0.9,13,4.4399999999999995e-05,0.0006545000000000006,"[18.1235749  17.04764202 11.34114257 19.30348961 10.72906709  8.72906709
  0.        ]",0.3521526954882326,[3 1 0 2 3 2 0],0
82,0.9,14,4.399999999999977e-05,0.0006985000000000003,"[18.34287781 17.25452993 11.49685472 19.60144262 10.85616038  8.85616038
  0.        ]",0.2979530124871097,[3 1 0 2 3 2 0],0
83,0.9,15,4.410000000000004e-05,0.0007426000000000004,"[18.52907693 17.43124782 11.63184427 19.85422296 10.97054434  8.97054434
  0.        ]",0.2527803363420382,[3 1 0 2 3 2 0],0
84,0.9,16,4.4000000000000636e-05,0.000786600000000001,"[18.68812304 17.58302808 11.74962586 20.06926958 11.07348991  9.07348991
  0.        ]",0.21504662904178673,[3 1 0 2 3 2 0],0
85,0.9,17,4.3500000000000136e-05,0.0008301000000000011,"[18.82472527 17.71404302 11.8529588  20.25272245 11.16614092  9.16614092
  0.        ]",0.1834528704681091,[3 1 0 2 3 2 0],0
86,0.9,18,4.7900000000000026e-05,0.0008780000000000012,"[18.94263871 17.82764534 11.9440357  20.40965787 11.24952682  9.24952682
  0.        ]",0.15693541592899862,[3 1 0 2 3 2 0],0
87,0.9,19,9.329999999999929e-05,0.0009713000000000005,"[19.04488081 17.92654994 12.02462053 20.54428029 11.32457414  9.32457414
  0.        ]",0.13462241866734104,[3 1 0 2 3 2 0],0
88,0.9,20,5.040000000000079e-05,0.0010217000000000013,"[19.13389495 18.01297195 12.09615013 20.66007871 11.39211673  9.39211673
  0.        ]",0.11579841770891264,[3 1 0 2 3 2 0],0
89,0.9,21,4.610000000000031e-05,0.0010678000000000016,"[19.21167475 18.08873222 12.1598091  20.75995426 11.45290505  9.45290505
  0.        ]",0.0998755510737439,[3 1 0 2 3 2 0],0
90,0.9,22,4.819999999999998e-05,0.0011160000000000015,"[19.279859   18.15533832 12.21658546 20.8463244  11.50761455  9.50761455
  0.        ]",0.08637014582630442,[3 1 0 2 3 2 0],0
91,0.9,23,4.49999999999999e-05,0.0011610000000000014,"[19.33980449 18.21404703 12.26731215 20.92120808 11.55685309  9.55685309
  0.        ]",0.07488367263022866,[3 1 0 2 3 2 0],0
92,0.9,24,4.430000000000059e-05,0.001205300000000002,"[19.39264232 18.26591297 12.31269831 20.98629532 11.60116778  9.60116778
  0.        ]",0.06508724389031073,[3 1 0 2 3 2 0],0
93,0.9,25,4.4500000000001136e-05,0.0012498000000000032,"[19.43932167 18.3118266  12.35335298 21.04300431 11.64105101  9.64105101
  0.        ]",0.05670898970499394,[3 1 0 2 3 2 0],0
94,0.9,26,4.4399999999999995e-05,0.0012942000000000032,"[19.48064394 18.35254414 12.38980333 21.09252808 11.67694591  9.67694591
  0.        ]",0.049523771599506716,[3 1 0 2 3 2 0],0
